MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:33 | STATUS_PLAYING udp://@225.1.1.252:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:36 | INFORMATION_RECEIVED udp://@225.1.1.251:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:36 | STATUS_PLAYING udp://@225.1.1.251:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:37 | INFORMATION_RECEIVED udp://@225.1.1.6:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:37 | STATUS_PLAYING udp://@225.1.1.6:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:38 | INFORMATION_RECEIVED udp://@225.1.1.222:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:38 | STATUS_PLAYING udp://@225.1.1.222:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:39 | INFORMATION_RECEIVED udp://@225.1.1.90:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:39 | STATUS_PLAYING udp://@225.1.1.90:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:42 | INFORMATION_RECEIVED udp://@225.1.1.120:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:42 | STATUS_PLAYING udp://@225.1.1.120:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:51 | INFORMATION_RECEIVED udp://@225.1.1.120:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:51 | STATUS_PLAYING udp://@225.1.1.120:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:39:50 | INFORMATION_RECEIVED udp://@225.1.1.90:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:39:50 | STATUS_PLAYING udp://@225.1.1.90:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:40:3 | INFORMATION_RECEIVED udp://@225.1.1.251:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:40:3 | STATUS_PLAYING udp://@225.1.1.251:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:41:19 | INFORMATION_RECEIVED udp://@225.1.1.252:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:41:19 | STATUS_PLAYING udp://@225.1.1.252:2001
RECORDER -----> 00:1a:79:6d:d1:a3 | 10.30.11.241 | 28/4/2023 13:0:1 | STATUS_END_RECORD /media/USB-0401db78d701c046e95deca0812d65b8336c011bb822952e4a1dba7eadb4805f7ea500000000000000000000a4b7de0900836d18a355810715ac22c1-1/11094_The_Herd_with_Colin_Cowherd_undefined.ts
RECORDER -----> 00:1a:79:6d:d1:a3 | 10.30.11.241 | 28/4/2023 13:0:1 | STATUS_END_RECORD false
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 28/4/2023 18:45:40 | STATUS_START_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11102_NBA_Basketball_undefined.ts
RECORDER -----> 00:1a:79:6d:d1:a3 | 10.30.11.241 | 28/4/2023 20:0:0 | STATUS_START_RECORD /media/USB-0401db78d701c046e95deca0812d65b8336c011bb822952e4a1dba7eadb4805f7ea500000000000000000000a4b7de0900836d18a355810715ac22c1-1/11095_Blue_Bloods_undefined.ts
